Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],0.18,Chen 2020,
Maximum concentration in positive electrode [mol.m-3],63104,Chen 2020,tuned for 1C
Positive electrode diffusivity [m2.s-1],4E-15,Chen 2020,tuned for 1C
Positive electrode OCP [V],[function]nmc_LGM50_ocp_Chen2020,Chen 2020,
,,,
# Microstructure,,,
Positive electrode porosity,0.335,Chen 2020,
Positive electrode active material volume fraction,0.665,Chen 2020,
Positive particle radius [m],5.22E-6,Chen 2020,
Positive electrode Bruggeman coefficient (electrolyte),1.5,Chen 2020,theoretical
Positive electrode Bruggeman coefficient (electrode),1.5,default,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Positive electrode charge transfer coefficient,0.5,Chen 2020,
Positive electrode double-layer capacity [F.m-2],0.2,,
Positive electrode exchange-current density [A.m-2],[function]nmc_LGM50_electrolyte_exchange_current_density_Chen2020,,
,,,
# Density,,,
Positive electrode density [kg.m-3],3262,default,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],700,default,
Positive electrode thermal conductivity [W.m-1.K-1],2.1,default,
Positive electrode OCP entropic change [V.K-1],0,,
,,,
# Mechanical properties,,,
Positive electrode Poisson's ratio,0.2,,
Positive electrode Young's modulus [Pa],375e9,,
Positive electrode reference concentration for free of deformation [mol.m-3],0,,
Positive electrode partial molar volume [m3.mol-1],12.5e-6,,
Positive electrode volume change,[function]volume_change_Ai2020,Ai2020,
,,,
# Crack model,,,
Positive electrode initial crack length [m],20e-9,,
Positive electrode initial crack width [m],15e-9,,
Positive electrode number of cracks per unit area [m-2],3.18e15,,
Positive electrode Paris' law constant b,1.12,,
Positive electrode Paris' law constant m,2.2,,
Positive electrode cracking rate,[function]cracking_rate_Ai2020,Ai2020,
,,,
# Loss of active materials (LAM) model,,,
Positive electrode LAM constant proportional term [s-1],2.7778E-7,0.001/3600,
Positive electrode LAM constant exponential term,2,,
Positive electrode critical stress [Pa],375e6,,
