Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],[function]nmc_LGM50_electronic_conductivity_ORegan2021,O'Regan 2021,
Maximum concentration in positive electrode [mol.m-3],51765,Chen 2020,
Positive electrode diffusivity [m2.s-1],[function]nmc_LGM50_diffusivity_ORegan2021,O'Regan 2021,
Positive electrode OCP [V],[function]nmc_LGM50_ocp_Chen2020,Chen 2020,
,,,
# Microstructure,,,
Positive electrode porosity,0.335,Chen 2020,
Positive electrode active material volume fraction,0.665,Chen 2020,
Positive particle radius [m],5.22E-6,Chen 2020,
Positive electrode Bruggeman coefficient (electrolyte),1.5,Chen 2020,theoretical
Positive electrode Bruggeman coefficient (electrode),0,conductivity already accounts for porous electrode,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,Chen 2020,
Positive electrode double-layer capacity [F.m-2],0.2,,
Positive electrode exchange-current density [A.m-2],[function]nmc_LGM50_electrolyte_exchange_current_density_ORegan2021,O'Regan 2021,
,,,
# Density,,,
Positive electrode density [kg.m-3],3699,O'Regan 2021,wet electrode
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],[function]nmc_LGM50_heat_capacity_ORegan2021,O'Regan 2021,wet electrode
Positive electrode thermal conductivity [W.m-1.K-1],[function]nmc_LGM50_thermal_conductivity_ORegan2021,O'Regan 2021,wet electrode
Positive electrode OCP entropic change [V.K-1],[function]nmc_LGM50_entropic_change_ORegan2021,,
