Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],68.1,,
Maximum concentration in positive electrode [mol.m-3],33912,to get a loading of 2.0 mAh/cm^2,
Positive electrode diffusivity [m2.s-1],[function]nmc_diffusivity_Mohtat2020,,
Positive electrode OCP [V],[function]nmc_ocp_Mohtat2020,,
,,,
# Microstructure,,,
Positive electrode porosity,0.33,Yang 2017,
Positive electrode active material volume fraction,0.54,(1-0.33)*0.807,direct communication with author
Positive particle radius [m],5.00E-06,Yang 2017,
Positive electrode Bruggeman coefficient (electrolyte),1.544226719,Solve for permeability factor B=0.1526=eps^b,
Positive electrode Bruggeman coefficient (electrode),0,No Bruggeman correction to solid conductivity,
Positive electrode exchange-current density [A.m-2],[function]nmc_electrolyte_exchange_current_density_Mohtat2020,,
,,,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
,,,
,,,
# Thermal parameters,,,
Positive electrode OCP entropic change [V.K-1],0,,
