Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# SEI properties,,,
Primary: Ratio of lithium moles to SEI moles,2,,Assume SEI made of LEDC and/or Li2CO3
Primary: Inner SEI partial molar volume [m3.mol-1],9.585e-5, Safari paper,
Primary: Outer SEI partial molar volume [m3.mol-1],9.585e-5, Safari paper,
Primary: SEI resistivity [Ohm.m],2e5, Safari paper,
Primary: Initial inner SEI thickness [m], 2.5E-9, 2.5E-9 1/2 of initial thickness in Safari paper,
Primary: Initial outer SEI thickness [m], 2.5E-9, 1/2 of initial thickness in Safari paper,
Primary: EC initial concentration in electrolyte [mol.m-3], 4.541E3, Safari paper,
Primary: EC diffusivity [m2.s-1], 2E-18, adjusted parameter in Yang paper,
Primary: SEI kinetic rate constant [m.s-1], 1e-12, adjusted parameter in Yang paper,
Primary: SEI open-circuit potential [V], 0.4, Safari paper,
Primary: SEI growth activation energy [J.mol-1], 0,,
,,,
Secondary: Ratio of lithium moles to SEI moles,2,,Assume SEI made of LEDC and/or Li2CO3
Secondary: Inner SEI partial molar volume [m3.mol-1],9.585e-5, Safari paper,
Secondary: Outer SEI partial molar volume [m3.mol-1],9.585e-5, Safari paper,
Secondary: SEI resistivity [Ohm.m],2e5, Safari paper,
Secondary: Initial inner SEI thickness [m], 2.5E-9, 2.5E-9 1/2 of initial thickness in Safari paper,
Secondary: Initial outer SEI thickness [m], 2.5E-9, 1/2 of initial thickness in Safari paper,
Secondary: EC initial concentration in electrolyte [mol.m-3], 4.541E3, Safari paper,
Secondary: EC diffusivity [m2.s-1], 2E-18, adjusted parameter in Yang paper,
Secondary: SEI kinetic rate constant [m.s-1], 1e-12, adjusted parameter in Yang paper,
Secondary: SEI open-circuit potential [V], 0.4, Safari paper,
Secondary: SEI growth activation energy [J.mol-1], 0,,
,,,
