Variant,Cycle,Period,SEI Thickness [m],Growth Rate [m/cycle],Crack Length [m],Discharge Capacity [A.h],CC Capacity [A.h],CC Time [h],CV Capacity [A.h],CV Time [h],Total Charge Capacity [A.h]
Baseline,1,Cycling,5.400653681774014e-09,0.0,2.0000029497305176e-08,1.1327321658738205,3.8719357660459996,5.420710072464393,0.27363118294892264,0.9515494723878337,4.145566948994922
Baseline,2,Cycling,5.982937469036238e-09,5.822837872622236e-10,2.0000113209108966e-08,4.140412999064712,3.868222841124883,5.415511977574933,0.27427988398306713,0.9550066559757049,4.14250272510795
Baseline,3,Cycling,6.513239876265802e-09,5.303024072295644e-10,2.000019689405952e-08,4.1385993629676605,3.8658511427711417,5.412191599880135,0.2747640945149903,0.9577513704277223,4.1406152372861325
Baseline,4,Cycling,7.003405114990372e-09,4.901652387245699e-10,2.0000280562437044e-08,4.13710494444314,3.863912769741633,5.409477877637428,0.27516414616447893,0.9601157233921427,4.139076915906112
Baseline,5,Cycling,7.46135987959065e-09,4.579547646002783e-10,2.000036421798924e-08,4.135790992583943,3.862223443163308,5.4071128204286865,0.27550705483440474,0.962206632550064,4.137730497997713
Baseline,6,Cycling,7.892720335038646e-09,4.3136045544799575e-10,2.0000447862721305e-08,4.134596940874128,3.860702403285293,5.40498336460152,0.27581059479111536,0.9641022005897355,4.136512998076409
Baseline,7,Cycling,8.301636996748428e-09,4.089166617097818e-10,2.0000531497910455e-08,4.133492530385819,3.8593046878516626,5.403026562993119,0.2760799273594414,0.9658056366283603,4.135384615211104
Baseline,8,Cycling,8.691279405291904e-09,3.8964240854347607e-10,2.000061512434291e-08,4.132452758056724,3.8580020004950804,5.4012028006895605,0.2763161094338402,0.9673011058170573,4.134318109928921
Baseline,9,Cycling,9.064132497629117e-09,3.728530923372128e-10,2.0000698742456537e-08,4.131458308713224,3.856775055950246,5.399485078331793,0.27651864593576825,0.9685672380476404,4.133293701886014
Baseline,10,Cycling,9.42218686085052e-09,3.5805436322140237e-10,2.0000782352442258e-08,4.13049409824373,3.8556100128131643,5.397854017937533,0.2766856435501963,0.9695773300134931,4.132295656363361
Baseline,11,Cycling,9.767065809456345e-09,3.448789486058262e-10,2.000086595430099e-08,4.129547386764246,3.8544968493736453,5.396295589123241,0.2768135227166817,0.9702961940975747,4.1313103720903275
Baseline,12,Cycling,1.0100113358432451e-08,3.3304754897610575e-10,2.0000949547892203e-08,4.128606598730693,3.8534278570362788,5.394798999850753,0.27689828329634736,0.9706876516457967,4.130326140332626
Baseline,13,Cycling,1.042245795166121e-08,3.2234459322875923e-10,2.0001033132974113e-08,4.127661450000007,3.852396960783236,5.393355745096642,0.27694270154880174,0.9707665584966279,4.129339662332038
Baseline,14,Cycling,1.0735058687635715e-08,3.126007359745044e-10,2.0001116709337143e-08,4.126709677868268,3.8513994974754353,5.391959296465814,0.27695227775099474,0.9705704947828622,4.12835177522643
Baseline,15,Cycling,1.1038739166583291e-08,3.0368047894757645e-10,2.0001200276855004e-08,4.125752890120279,3.850431878444165,5.390604629820018,0.2769321269825302,0.9701365640496675,4.127364005426696
Baseline,16,Cycling,1.1334213029566235e-08,2.954738629829438e-10,2.000128383548064e-08,4.124793205148934,3.8494911258243247,5.389287576155326,0.276887302737721,0.9695013143256546,4.126378428562045
Baseline,17,Cycling,1.1622103513015081e-08,2.87890483448846e-10,2.0001367385212475e-08,4.1238331636584284,3.848574738721931,5.388004634209096,0.27682187669016134,0.9686945402748677,4.125396615412092
Baseline,18,Cycling,1.190295876204119e-08,2.8085524902610933e-10,2.000145092604191e-08,4.122874702171763,3.8476805894919437,5.3867528252886245,0.27673948319165076,0.9677432099830838,4.124420072683595
Baseline,19,Cycling,1.217726380897064e-08,2.7430504692944945e-10,2.0001534457922902e-08,4.121919624553987,3.8468068289187007,5.385529560486162,0.2766423964237652,0.9666631628467712,4.1234492253424655
Baseline,20,Cycling,1.244545026203768e-08,2.681864530670403e-10,2.0001617980749452e-08,4.120968599789034,3.8459520268607306,5.384332837603864,0.27653204362226,0.9654666481994241,4.12248407048299
Baseline,21,Cycling,1.2707904178981411e-08,2.6245391694373116e-10,2.0001701494382105e-08,4.12002182556855,3.845115127298436,5.383161178217714,0.2764095388543928,0.964163290960677,4.121524666152829
Baseline,22,Cycling,1.2964972356220856e-08,2.5706817723944433e-10,2.0001784998761334e-08,4.1190795287022555,3.8442950934137485,5.382013130779573,0.2762744888805999,0.9627516175231321,4.120569582294348
Baseline,23,Cycling,1.3216967669752673e-08,2.5199531353181756e-10,2.0001868493991303e-08,4.118140419744757,3.8434910067492183,5.380887409449734,0.27612676563035166,0.9612314953868548,4.11961777237957
Baseline,24,Cycling,1.3464173646778695e-08,2.472059770260213e-10,2.0001951980331234e-08,4.117203581937269,3.842702058979852,5.379782882572236,0.2759670728689092,0.9596087369461443,4.118669131848762
Baseline,25,Cycling,1.3706848133094813e-08,2.4267448631611795e-10,2.000203545810155e-08,4.116269001963074,3.8419274781052897,5.378698469346773,0.27579545304286146,0.9578842542714625,4.117722931148151
Baseline,26,Cycling,1.394522646208095e-08,2.383783289861375e-10,2.0002118927560916e-08,4.1153360442978295,3.8411666063535628,5.377633248897709,0.2756123261635035,0.9560616782263338,4.116778932517066
Baseline,27,Cycling,1.4179524742572686e-08,2.342982804917358e-10,2.000220238887364e-08,4.114404555456038,3.8404188249187534,5.37658635488512,0.27542328960838747,0.9541828164613122,4.11584211452714
Baseline,28,Cycling,1.4409942303117246e-08,2.304175605445603e-10,2.000228584219187e-08,4.11347956983467,3.8396835436590315,5.375556961123252,0.27523455220195103,0.9522943297354232,4.114918095860983
Baseline,29,Cycling,1.4636663516873794e-08,2.2672121375654773e-10,2.0002369287688313e-08,4.112566758714518,3.838960213167498,5.374544298435609,0.2750516131106684,0.9504377240084807,4.114011826278166
Baseline,30,Cycling,1.485985931291421e-08,2.231957960404164e-10,2.000245272556657e-08,4.111671137041597,3.838248340901939,5.373547677266913,0.27487908861843513,0.9486478186302918,4.1131274295203735
Baseline,31,Cycling,1.507968844087484e-08,2.198291279606285e-10,2.000253615606041e-08,4.110796861621607,3.837547401542076,5.372566362158859,0.2747203680830066,0.9469506742974776,4.112267769625083
Baseline,32,Cycling,1.5296298417238595e-08,2.1660997636375668e-10,2.0002619579424857e-08,4.1099468388984866,3.8368569387822196,5.37159971429487,0.27457640974618425,0.9453542871657525,4.111433348528404
Baseline,33,Cycling,1.550982651214061e-08,2.1352809490201433e-10,2.0002702995913286e-08,4.109121608139802,3.83617649122734,5.370647087717899,0.2744476260990196,0.9438625329647792,4.11062411732636
