Temperature [degC],Current [A],SoC,R1 [Ohm]
-20,-400,0.0,0.0033714083054657926
-20,-400,0.05,0.003223585018226138
-20,-400,0.1,0.0030913220770117105
-20,-400,0.15000000000000002,0.0029746194818225107
-20,-400,0.2,0.002873477232658537
-20,-400,0.25,0.00278789532951979
-20,-400,0.30000000000000004,0.0027178737724062696
-20,-400,0.35000000000000003,0.002663412561317976
-20,-400,0.4,0.0026245116962549087
-20,-400,0.45,0.0026011711772170694
-20,-400,0.5,0.0025933910042044554
-20,-400,0.55,0.00260117117721707
-20,-400,0.6000000000000001,0.0026245116962549087
-20,-400,0.65,0.002663412561317976
-20,-400,0.7000000000000001,0.0027178737724062696
-20,-400,0.75,0.00278789532951979
-20,-400,0.8,0.002873477232658537
-20,-400,0.8500000000000001,0.0029746194818225107
-20,-400,0.9,0.0030913220770117105
-20,-400,0.9500000000000001,0.0032235850182261386
-20,-400,1.0,0.0033714083054657926
-20,-350,0.0,0.0033550422457305214
-20,-350,0.05,0.003207936547263875
-20,-350,0.1,0.003076315659162139
-20,-350,0.15000000000000002,0.002960179581425314
-20,-350,0.2,0.002859528314053398
-20,-350,0.25,0.002774361857046392
-20,-350,0.30000000000000004,0.002704680210404297
-20,-350,0.35000000000000003,0.002650483374127111
-20,-350,0.4,0.0026117713482148365
-20,-350,0.45,0.0025885441326674715
-20,-350,0.5,0.0025808017274850164
-20,-350,0.55,0.002588544132667472
-20,-350,0.6000000000000001,0.0026117713482148365
-20,-350,0.65,0.002650483374127111
-20,-350,0.7000000000000001,0.002704680210404297
-20,-350,0.75,0.002774361857046392
-20,-350,0.8,0.002859528314053398
-20,-350,0.8500000000000001,0.002960179581425314
-20,-350,0.9,0.003076315659162139
-20,-350,0.9500000000000001,0.0032079365472638755
-20,-350,1.0,0.0033550422457305214
-20,-300,0.0,0.003338676185995251
-20,-300,0.05,0.0031922880763016123
-20,-300,0.1,0.003061309241312568
-20,-300,0.15000000000000002,0.0029457396810281173
-20,-300,0.2,0.0028455793954482596
-20,-300,0.25,0.0027608283845729953
-20,-300,0.30000000000000004,0.0026914866484023248
-20,-300,0.35000000000000003,0.0026375541869362476
-20,-300,0.4,0.002599031000174764
-20,-300,0.45,0.002575917088117874
-20,-300,0.5,0.002568212450765577
-20,-300,0.55,0.0025759170881178746
-20,-300,0.6000000000000001,0.002599031000174764
-20,-300,0.65,0.0026375541869362476
-20,-300,0.7000000000000001,0.0026914866484023248
-20,-300,0.75,0.0027608283845729953
-20,-300,0.8,0.0028455793954482596
-20,-300,0.8500000000000001,0.0029457396810281173
-20,-300,0.9,0.003061309241312568
-20,-300,0.9500000000000001,0.0031922880763016128
-20,-300,1.0,0.003338676185995251
-20,-250,0.0,0.0033223101262599797
-20,-250,0.05,0.003176639605339349
-20,-250,0.1,0.003046302823462996
-20,-250,0.15000000000000002,0.00293129978063092
-20,-250,0.2,0.002831630476843121
-20,-250,0.25,0.0027472949120995985
-20,-250,0.30000000000000004,0.0026782930864003526
-20,-250,0.35000000000000003,0.0026246249997453836
-20,-250,0.4,0.0025862906521346915
-20,-250,0.45,0.0025632900435682763
-20,-250,0.5,0.002555623174046138
-20,-250,0.55,0.0025632900435682768
-20,-250,0.6000000000000001,0.0025862906521346915
-20,-250,0.65,0.0026246249997453836
-20,-250,0.7000000000000001,0.0026782930864003526
-20,-250,0.75,0.0027472949120995985
-20,-250,0.8,0.002831630476843121
-20,-250,0.8500000000000001,0.00293129978063092
-20,-250,0.9,0.003046302823462996
-20,-250,0.9500000000000001,0.0031766396053393496
-20,-250,1.0,0.0033223101262599797
-20,-200,0.0,0.003305944066524709
-20,-200,0.05,0.003160991134377087
-20,-200,0.1,0.003031296405613425
-20,-200,0.15000000000000002,0.0029168598802337244
-20,-200,0.2,0.0028176815582379826
-20,-200,0.25,0.0027337614396262017
-20,-200,0.30000000000000004,0.002665099524398381
-20,-200,0.35000000000000003,0.00261169581255452
-20,-200,0.4,0.0025735503040946197
-20,-200,0.45,0.0025506629990186794
-20,-200,0.5,0.002543033897326699
-20,-200,0.55,0.0025506629990186803
-20,-200,0.6000000000000001,0.0025735503040946197
-20,-200,0.65,0.00261169581255452
-20,-200,0.7000000000000001,0.002665099524398381
-20,-200,0.75,0.0027337614396262017
-20,-200,0.8,0.0028176815582379826
-20,-200,0.8500000000000001,0.0029168598802337244
-20,-200,0.9,0.003031296405613425
-20,-200,0.9500000000000001,0.0031609911343770873
-20,-200,1.0,0.003305944066524709
-20,-150,0.0,0.003289578006789438
-20,-150,0.05,0.0031453426634148237
-20,-150,0.1,0.003016289987763853
-20,-150,0.15000000000000002,0.0029024199798365273
-20,-150,0.2,0.002803732639632844
-20,-150,0.25,0.002720227967152804
-20,-150,0.30000000000000004,0.002651905962396408
-20,-150,0.35000000000000003,0.0025987666253636556
-20,-150,0.4,0.002560809956054547
-20,-150,0.45,0.0025380359544690816
-20,-150,0.5,0.0025304446206072593
-20,-150,0.55,0.0025380359544690824
-20,-150,0.6000000000000001,0.002560809956054547
-20,-150,0.65,0.0025987666253636556
-20,-150,0.7000000000000001,0.002651905962396408
-20,-150,0.75,0.002720227967152804
-20,-150,0.8,0.002803732639632844
-20,-150,0.8500000000000001,0.0029024199798365273
-20,-150,0.9,0.003016289987763853
-20,-150,0.9500000000000001,0.003145342663414824
-20,-150,1.0,0.003289578006789438
-20,-100,0.0,0.0032732119470541676
-20,-100,0.05,0.003129694192452561
-20,-100,0.1,0.003001283569914282
-20,-100,0.15000000000000002,0.0028879800794393306
-20,-100,0.2,0.0027897837210277055
-20,-100,0.25,0.002706694494679407
-20,-100,0.30000000000000004,0.0026387124003944364
-20,-100,0.35000000000000003,0.002585837438172792
-20,-100,0.4,0.0025480696080144747
-20,-100,0.45,0.0025254089099194846
-20,-100,0.5,0.002517855343887821
-20,-100,0.55,0.002525408909919485
-20,-100,0.6000000000000001,0.0025480696080144747
-20,-100,0.65,0.002585837438172792
-20,-100,0.7000000000000001,0.0026387124003944364
-20,-100,0.75,0.002706694494679407
-20,-100,0.8,0.0027897837210277055
-20,-100,0.8500000000000001,0.0028879800794393306
-20,-100,0.9,0.003001283569914282
-20,-100,0.9500000000000001,0.003129694192452562
-20,-100,1.0,0.0032732119470541676
-20,-50,0.0,0.0032568458873188963
-20,-50,0.05,0.0031140457214902987
-20,-50,0.1,0.0029862771520647105
-20,-50,0.15000000000000002,0.0028735401790421344
-20,-50,0.2,0.002775834802422567
-20,-50,0.25,0.0026931610222060104
-20,-50,0.30000000000000004,0.002625518838392464
-20,-50,0.35000000000000003,0.002572908250981928
-20,-50,0.4,0.002535329259974402
-20,-50,0.45,0.0025127818653698872
-20,-50,0.5,0.0025052660671683815
-20,-50,0.55,0.0025127818653698877
-20,-50,0.6000000000000001,0.002535329259974402
-20,-50,0.65,0.002572908250981928
-20,-50,0.7000000000000001,0.002625518838392464
-20,-50,0.75,0.0026931610222060104
-20,-50,0.8,0.002775834802422567
-20,-50,0.8500000000000001,0.0028735401790421344
-20,-50,0.9,0.0029862771520647105
-20,-50,0.9500000000000001,0.003114045721490299
-20,-50,1.0,0.0032568458873188963
-20,0,0.0,0.003240479827583626
-20,0,0.05,0.0030983972505280355
-20,0,0.1,0.002971270734215139
-20,0,0.15000000000000002,0.0028591002786449373
-20,0,0.2,0.002761885883817429
-20,0,0.25,0.002679627549732613
-20,0,0.30000000000000004,0.0026123252763904916
-20,0,0.35000000000000003,0.0025599790637910636
-20,0,0.4,0.0025225889119343302
-20,0,0.45,0.0025001548208202894
-20,0,0.5,0.0024926767904489425
-20,0,0.55,0.00250015482082029
-20,0,0.6000000000000001,0.0025225889119343302
-20,0,0.65,0.0025599790637910636
-20,0,0.7000000000000001,0.0026123252763904916
-20,0,0.75,0.002679627549732613
-20,0,0.8,0.002761885883817429
-20,0,0.8500000000000001,0.0028591002786449373
-20,0,0.9,0.002971270734215139
-20,0,0.9500000000000001,0.003098397250528036
-20,0,1.0,0.003240479827583626
-20,50,0.0,0.0032568458873188963
-20,50,0.05,0.0031140457214902987
-20,50,0.1,0.0029862771520647105
-20,50,0.15000000000000002,0.0028735401790421344
-20,50,0.2,0.002775834802422567
-20,50,0.25,0.0026931610222060104
-20,50,0.30000000000000004,0.002625518838392464
-20,50,0.35000000000000003,0.002572908250981928
-20,50,0.4,0.002535329259974402
-20,50,0.45,0.0025127818653698872
-20,50,0.5,0.0025052660671683815
-20,50,0.55,0.0025127818653698877
-20,50,0.6000000000000001,0.002535329259974402
-20,50,0.65,0.002572908250981928
-20,50,0.7000000000000001,0.002625518838392464
-20,50,0.75,0.0026931610222060104
-20,50,0.8,0.002775834802422567
-20,50,0.8500000000000001,0.0028735401790421344
-20,50,0.9,0.0029862771520647105
-20,50,0.9500000000000001,0.003114045721490299
-20,50,1.0,0.0032568458873188963
-20,100,0.0,0.0032732119470541676
-20,100,0.05,0.003129694192452561
-20,100,0.1,0.003001283569914282
-20,100,0.15000000000000002,0.0028879800794393306
-20,100,0.2,0.0027897837210277055
-20,100,0.25,0.002706694494679407
-20,100,0.30000000000000004,0.0026387124003944364
-20,100,0.35000000000000003,0.002585837438172792
-20,100,0.4,0.0025480696080144747
-20,100,0.45,0.0025254089099194846
-20,100,0.5,0.002517855343887821
-20,100,0.55,0.002525408909919485
-20,100,0.6000000000000001,0.0025480696080144747
-20,100,0.65,0.002585837438172792
-20,100,0.7000000000000001,0.0026387124003944364
-20,100,0.75,0.002706694494679407
-20,100,0.8,0.0027897837210277055
-20,100,0.8500000000000001,0.0028879800794393306
-20,100,0.9,0.003001283569914282
-20,100,0.9500000000000001,0.003129694192452562
-20,100,1.0,0.0032732119470541676
-20,150,0.0,0.003289578006789438
-20,150,0.05,0.0031453426634148237
-20,150,0.1,0.003016289987763853
-20,150,0.15000000000000002,0.0029024199798365273
-20,150,0.2,0.002803732639632844
-20,150,0.25,0.002720227967152804
-20,150,0.30000000000000004,0.002651905962396408
-20,150,0.35000000000000003,0.0025987666253636556
-20,150,0.4,0.002560809956054547
-20,150,0.45,0.0025380359544690816
-20,150,0.5,0.0025304446206072593
-20,150,0.55,0.0025380359544690824
-20,150,0.6000000000000001,0.002560809956054547
-20,150,0.65,0.0025987666253636556
-20,150,0.7000000000000001,0.002651905962396408
-20,150,0.75,0.002720227967152804
-20,150,0.8,0.002803732639632844
-20,150,0.8500000000000001,0.0029024199798365273
-20,150,0.9,0.003016289987763853
-20,150,0.9500000000000001,0.003145342663414824
-20,150,1.0,0.003289578006789438
-20,200,0.0,0.003305944066524709
-20,200,0.05,0.003160991134377087
-20,200,0.1,0.003031296405613425
-20,200,0.15000000000000002,0.0029168598802337244
-20,200,0.2,0.0028176815582379826
-20,200,0.25,0.0027337614396262017
-20,200,0.30000000000000004,0.002665099524398381
-20,200,0.35000000000000003,0.00261169581255452
-20,200,0.4,0.0025735503040946197
-20,200,0.45,0.0025506629990186794
-20,200,0.5,0.002543033897326699
-20,200,0.55,0.0025506629990186803
-20,200,0.6000000000000001,0.0025735503040946197
-20,200,0.65,0.00261169581255452
-20,200,0.7000000000000001,0.002665099524398381
-20,200,0.75,0.0027337614396262017
-20,200,0.8,0.0028176815582379826
-20,200,0.8500000000000001,0.0029168598802337244
-20,200,0.9,0.003031296405613425
-20,200,0.9500000000000001,0.0031609911343770873
-20,200,1.0,0.003305944066524709
-20,250,0.0,0.0033223101262599797
-20,250,0.05,0.003176639605339349
-20,250,0.1,0.003046302823462996
-20,250,0.15000000000000002,0.00293129978063092
-20,250,0.2,0.002831630476843121
-20,250,0.25,0.0027472949120995985
-20,250,0.30000000000000004,0.0026782930864003526
-20,250,0.35000000000000003,0.0026246249997453836
-20,250,0.4,0.0025862906521346915
-20,250,0.45,0.0025632900435682763
-20,250,0.5,0.002555623174046138
-20,250,0.55,0.0025632900435682768
-20,250,0.6000000000000001,0.0025862906521346915
-20,250,0.65,0.0026246249997453836
-20,250,0.7000000000000001,0.0026782930864003526
-20,250,0.75,0.0027472949120995985
-20,250,0.8,0.002831630476843121
-20,250,0.8500000000000001,0.00293129978063092
-20,250,0.9,0.003046302823462996
-20,250,0.9500000000000001,0.0031766396053393496
-20,250,1.0,0.0033223101262599797
-20,300,0.0,0.003338676185995251
-20,300,0.05,0.0031922880763016123
-20,300,0.1,0.003061309241312568
-20,300,0.15000000000000002,0.0029457396810281173
-20,300,0.2,0.0028455793954482596
-20,300,0.25,0.0027608283845729953
-20,300,0.30000000000000004,0.0026914866484023248
-20,300,0.35000000000000003,0.0026375541869362476
-20,300,0.4,0.002599031000174764
-20,300,0.45,0.002575917088117874
-20,300,0.5,0.002568212450765577
-20,300,0.55,0.0025759170881178746
-20,300,0.6000000000000001,0.002599031000174764
-20,300,0.65,0.0026375541869362476
-20,300,0.7000000000000001,0.0026914866484023248
-20,300,0.75,0.0027608283845729953
-20,300,0.8,0.0028455793954482596
-20,300,0.8500000000000001,0.0029457396810281173
-20,300,0.9,0.003061309241312568
-20,300,0.9500000000000001,0.0031922880763016128
-20,300,1.0,0.003338676185995251
