x_p,delta_V
0.0,0.0
0.264503794,-0.0222786067
0.2656260198,-0.0149974977
0.2667482455,-0.0175147527
0.2678704712,-0.0195810962
0.268992697,-0.0212770455
0.2701149227,-0.0225842226
0.2712371484,-0.0235808893
0.2723593742,-0.0243721581
0.2734815999,-0.0249598954
0.2746038256,-0.0253438655
0.2757260514,-0.0255247645
0.2768482771,-0.0255419685
0.2779705029,-0.0254404526
0.2790927286,-0.0252269532
0.2802149543,-0.0249053127
0.2813371801,-0.0244812894
0.2824594058,-0.0240008271
0.2835816315,-0.0234840924
0.2847038573,-0.0229102158
0.285826083,-0.0222603082
0.2869483087,-0.0215166456
0.2880705345,-0.0207528255
0.2891927602,-0.0200087395
0.2903149859,-0.0192213522
0.2914372117,-0.0183245192
0.2925594374,-0.0172596921
0.2936816632,-0.0161285138
0.2948038889,-0.0150542364
0.2959261146,-0.0140352792
0.2970483404,-0.0130739656
0.2981705661,-0.0121714215
0.2992927918,-0.0113226343
0.3004150176,-0.0105270926
0.3015372433,-0.0097891001
0.302659469,-0.0091058309
0.3037816948,-0.0084696951
0.3049039205,-0.0078877374
0.3060261462,-0.007360229
0.307148372,-0.0068683572
0.3082705977,-0.0064241261
0.3093928235,-0.0060286768
0.3105150492,-0.0056660369
0.3116372749,-0.0053398593
0.3127595007,-0.0050549729
0.3138817264,-0.0048039244
0.3150039521,-0.0045765242
0.3161261779,-0.0043754128
0.3172484036,-0.0041979702
0.3183706293,-0.0040419791
0.3194928551,-0.0039046202
0.3206150808,-0.0037832457
0.3217373065,-0.0036658833
0.3228595323,-0.0035455905
0.323981758,-0.0034196422
0.3251039838,-0.0032848062
0.3262262095,-0.0031380479
0.3273484352,-0.0029765497
0.328470661,-0.0027987067
0.3295928867,-0.0026043148
0.3307151124,-0.0023899786
0.3318373382,-0.0021538147
0.3329595639,-0.0018964688
0.3340817896,-0.0016152086
0.3352040154,-0.0013084409
0.3363262411,-0.0009755377
0.3374484668,-0.0006149599
0.3385706926,-0.0002252294
0.3396929183,0.0001937457
0.3408151441,0.0006417015
0.3419373698,0.0011194336
0.3430595955,0.0016269091
0.3441818213,0.002163584
0.345304047,0.0027291087
0.3464262727,0.0033227498
0.3475484985,0.003943091
0.3486707242,0.0045901023
0.3497929499,0.0052781537
0.3509151757,0.006013125
0.3520374014,0.0067932591
0.3531596271,0.007617391
0.3542818529,0.0084831262
0.3554040786,0.0093877747
0.3565263044,0.010329769
0.3576485301,0.0113068418
0.3587707558,0.0123156501
0.3598929816,0.0133544212
0.3610152073,0.0144208375
0.362137433,0.0155119341
0.3632596588,0.0166254574
0.3643818845,0.0177589869
0.3655041102,0.0189075344
0.366626336,0.020066295
0.3677485617,0.0212316941
0.3688707874,0.0224012597
0.3699930132,0.0235755053
0.3711152389,0.0247494938
0.3722374647,0.0259202854
0.3733596904,0.0270848551
0.3744819161,0.0282402897
0.3756041419,0.0293836387
0.3767263676,0.0305068581
0.3778485933,0.0314787611
0.3789708191,0.0322400415
0.3800930448,0.032804509
0.3812152705,0.0331859526
0.3823374963,0.0333967316
0.383459722,0.0334494425
0.3845819477,0.0333556714
0.3857041735,0.0331286862
0.3868263992,0.0327811906
0.387948625,0.0323291654
0.3890708507,0.0317860723
0.3901930764,0.0311660096
0.3913153022,0.03047719
0.3924375279,0.029734119
0.3935597536,0.0289524532
0.3946819794,0.0281442688
0.3958042051,0.0273216831
0.3969264308,0.02650051
0.3980486566,0.0256943657
0.3991708823,0.024914897
0.400293108,0.024177694
0.4014153338,0.0234968693
0.4025375595,0.0228840218
0.4036597853,0.0223534323
0.404782011,0.0219144751
0.4059042367,0.0214564492
0.4070264625,0.0209314257
0.4081486882,0.0203467447
0.4092709139,0.0197105464
0.4103931397,0.0190317473
0.4115153654,0.0183177043
0.4126375911,0.01757636
0.4137598169,0.0168156568
0.4148820426,0.0160435373
0.4160042683,0.0152679441
0.4171264941,0.0144973682
0.4182487198,0.0137396179
0.4193709456,0.0130025934
0.4204931713,0.0122942882
0.421615397,0.011622696
0.4227376228,0.010995796
0.4238598485,0.0104260027
0.4249820742,0.009919304
0.4261043,0.0094837723
0.4272265257,0.0091277095
0.4283487514,0.0088594176
0.4294709772,0.0086872752
0.4305932029,0.0086215019
0.4317154286,0.0086694377
0.4328376544,0.0088384129
0.4339598801,0.0091123682
0.4350821059,0.0094777168
0.4362043316,0.0099276039
0.4373265573,0.0104558959
0.4384487831,0.0110551104
0.4395710088,0.0117183258
0.4406932345,0.0124386207
0.4418154603,0.0132090736
0.442937686,0.0140225664
0.4440599117,0.014871612
0.4451821375,0.0157496336
0.4463043632,0.0166496514
