# d OCP / d Temp data for LG INR18650-MJ1 NMC811 cathode
# sto, dU/dT
       0.000000,    0.014904
       0.010000,    0.014904
       0.020000,    0.014904
       0.030000,    0.014904
       0.040000,    0.014904
       0.050000,    0.014904
       0.060000,    0.014904
       0.070000,    0.014904
       0.080000,    0.014904
       0.090000,    0.014904
       0.100000,    0.014904
       0.110000,    0.014904
       0.120000,    0.014904
       0.130000,    0.014904
       0.140000,    0.014904
       0.150000,    0.014904
       0.160000,    0.014904
       0.170000,    0.014904
       0.180000,    0.014904
       0.190000,    0.014904
       0.200000,    0.014904
       0.210000,    0.014904
#
       0.215700,    0.014904
       0.216700,    0.014769
       0.217700,    0.014660
       0.218700,    0.014578
       0.219700,    0.014521
       0.220700,    0.014489
       0.221700,    0.014482
       0.222700,    0.014498
       0.223700,    0.014538
       0.224700,    0.014601
       0.225700,    0.014686
       0.226700,    0.014794
       0.227700,    0.014922
       0.228700,    0.015072
       0.229700,    0.015242
       0.230700,    0.015431
       0.231700,    0.015640
       0.232700,    0.015868
       0.233700,    0.016115
       0.234700,    0.016379
       0.235700,    0.016660
       0.236700,    0.016958
       0.237700,    0.017273
       0.238700,    0.017603
       0.239700,    0.017949
       0.240700,    0.018309
       0.241700,    0.018683
       0.242700,    0.019072
       0.243700,    0.019473
       0.244700,    0.019887
       0.245700,    0.020314
       0.246700,    0.020752
       0.247700,    0.021201
       0.248700,    0.021661
       0.249700,    0.022131
       0.250700,    0.022610
       0.251700,    0.023099
       0.252700,    0.023597
       0.253700,    0.024102
       0.254700,    0.024615
       0.255700,    0.025136
       0.256700,    0.025663
       0.257700,    0.026195
       0.258700,    0.026734
       0.259700,    0.027277
       0.260700,    0.027825
       0.261700,    0.028377
       0.262700,    0.028933
       0.263700,    0.029491
       0.264700,    0.030052
       0.265700,    0.030615
       0.266700,    0.031178
       0.267700,    0.031736
       0.268700,    0.032284
       0.269700,    0.032820
       0.270700,    0.033338
       0.271700,    0.033835
       0.272700,    0.034305
       0.273700,    0.034745
       0.274700,    0.035150
       0.275700,    0.035517
       0.276700,    0.035840
       0.277700,    0.036116
       0.278700,    0.036340
       0.279700,    0.036507
       0.280700,    0.036615
       0.281700,    0.036658
       0.282700,    0.036631
       0.283700,    0.036532
       0.284700,    0.036358
       0.285700,    0.036116
       0.286700,    0.035809
       0.287700,    0.035443
       0.288700,    0.035025
       0.289700,    0.034558
       0.290700,    0.034049
       0.291700,    0.033502
       0.292700,    0.032924
       0.293700,    0.032319
       0.294700,    0.031693
       0.295700,    0.031051
       0.296700,    0.030399
       0.297700,    0.029741
       0.298700,    0.029083
       0.299700,    0.028431
       0.300700,    0.027790
       0.301700,    0.027165
       0.302700,    0.026560
       0.303700,    0.025974
       0.304700,    0.025405
       0.305700,    0.024853
       0.306700,    0.024314
       0.307700,    0.023788
       0.308700,    0.023272
       0.309700,    0.022766
       0.310700,    0.022267
       0.311700,    0.021773
       0.312700,    0.021284
       0.313700,    0.020797
       0.314700,    0.020311
       0.315700,    0.019824
       0.316700,    0.019335
       0.317700,    0.018841
       0.318700,    0.018342
       0.319700,    0.017834
       0.320700,    0.017319
       0.321700,    0.016797
       0.322700,    0.016274
       0.323700,    0.015752
       0.324700,    0.015236
       0.325700,    0.014729
       0.326700,    0.014236
       0.327700,    0.013759
       0.328700,    0.013303
       0.329700,    0.012871
       0.330700,    0.012468
       0.331700,    0.012096
       0.332700,    0.011761
       0.333700,    0.011465
       0.334700,    0.011212
       0.335700,    0.011007
       0.336700,    0.010853
       0.337700,    0.010753
       0.338700,    0.010711
       0.339700,    0.010726
       0.340700,    0.010792
       0.341700,    0.010906
       0.342700,    0.011064
       0.343700,    0.011260
       0.344700,    0.011490
       0.345700,    0.011750
       0.346700,    0.012037
       0.347700,    0.012345
       0.348700,    0.012669
       0.349700,    0.013007
       0.350700,    0.013353
       0.351700,    0.013703
       0.352700,    0.014052
       0.353700,    0.014397
       0.354700,    0.014733
       0.355700,    0.015055
       0.356700,    0.015360
       0.357700,    0.015646
       0.358700,    0.015915
       0.359700,    0.016168
       0.360700,    0.016407
       0.361700,    0.016633
       0.362700,    0.016849
       0.363700,    0.017054
       0.364700,    0.017252
       0.365700,    0.017444
       0.366700,    0.017630
       0.367700,    0.017814
       0.368700,    0.017995
       0.369700,    0.018177
       0.370700,    0.018359
       0.371700,    0.018545
       0.372700,    0.018734
       0.373700,    0.018930
       0.374700,    0.019133
       0.375700,    0.019344
       0.376700,    0.019560
       0.377700,    0.019779
       0.378700,    0.019998
       0.379700,    0.020215
       0.380700,    0.020428
       0.381700,    0.020635
       0.382700,    0.020832
       0.383700,    0.021019
       0.384700,    0.021192
       0.385700,    0.021349
       0.386700,    0.021487
       0.387700,    0.021605
       0.388700,    0.021700
       0.389700,    0.021770
       0.390700,    0.021812
       0.391700,    0.021824
       0.392700,    0.021803
       0.393700,    0.021750
       0.394700,    0.021665
       0.395700,    0.021552
       0.396700,    0.021414
       0.397700,    0.021253
       0.398700,    0.021072
       0.399700,    0.020875
       0.400700,    0.020663
       0.401700,    0.020439
       0.402700,    0.020207
       0.403700,    0.019969
       0.404700,    0.019728
       0.405700,    0.019486
       0.406700,    0.019247
       0.407700,    0.019013
       0.408700,    0.018787
       0.409700,    0.018571
       0.410700,    0.018369
       0.411700,    0.018183
       0.412700,    0.018011
       0.413700,    0.017852
       0.414700,    0.017705
       0.415700,    0.017568
       0.416700,    0.017439
       0.417700,    0.017317
       0.418700,    0.017200
       0.419700,    0.017086
       0.420700,    0.016975
       0.421700,    0.016865
       0.422700,    0.016754
       0.423700,    0.016640
       0.424700,    0.016521
       0.425700,    0.016398
       0.426700,    0.016267
       0.427700,    0.016127
       0.428700,    0.015977
       0.429700,    0.015815
       0.430700,    0.015641
       0.431700,    0.015455
       0.432700,    0.015257
       0.433700,    0.015048
       0.434700,    0.014828
       0.435700,    0.014597
       0.436700,    0.014355
       0.437700,    0.014102
       0.438700,    0.013839
       0.439700,    0.013565
       0.440700,    0.013281
       0.441700,    0.012987
       0.442700,    0.012684
       0.443700,    0.012371
       0.444700,    0.012048
       0.445700,    0.011717
       0.446700,    0.011376
       0.447700,    0.011026
       0.448700,    0.010668
       0.449700,    0.010302
       0.450700,    0.009928
       0.451700,    0.009546
       0.452700,    0.009157
       0.453700,    0.008760
       0.454700,    0.008357
       0.455700,    0.007948
       0.456700,    0.007532
       0.457700,    0.007111
       0.458700,    0.006684
       0.459700,    0.006251
       0.460700,    0.005814
       0.461700,    0.005373
       0.462700,    0.004926
       0.463700,    0.004476
       0.464700,    0.004022
       0.465700,    0.003565
       0.466700,    0.003105
       0.467700,    0.002643
       0.468700,    0.002180
       0.469700,    0.001716
       0.470700,    0.001252
       0.471700,    0.000790
       0.472700,    0.000330
       0.473700,   -0.000127
       0.474700,   -0.000581
       0.475700,   -0.001030
       0.476700,   -0.001474
       0.477700,   -0.001912
       0.478700,   -0.002342
       0.479700,   -0.002765
       0.480700,   -0.003180
       0.481700,   -0.003585
       0.482700,   -0.003980
       0.483700,   -0.004364
       0.484700,   -0.004735
       0.485700,   -0.005094
       0.486700,   -0.005437
       0.487700,   -0.005764
       0.488700,   -0.006072
       0.489700,   -0.006361
       0.490700,   -0.006630
       0.491700,   -0.006876
       0.492700,   -0.007097
       0.493700,   -0.007294
       0.494700,   -0.007463
       0.495700,   -0.007604
       0.496700,   -0.007716
       0.497700,   -0.007796
       0.498700,   -0.007842
       0.499700,   -0.007855
       0.500700,   -0.007832
       0.501700,   -0.007771
       0.502700,   -0.007673
       0.503700,   -0.007539
       0.504700,   -0.007373
       0.505700,   -0.007177
       0.506700,   -0.006955
       0.507700,   -0.006710
       0.508700,   -0.006444
       0.509700,   -0.006161
       0.510700,   -0.005863
       0.511700,   -0.005554
       0.512700,   -0.005236
       0.513700,   -0.004913
       0.514700,   -0.004588
       0.515700,   -0.004262
       0.516700,   -0.003941
       0.517700,   -0.003626
       0.518700,   -0.003320
       0.519700,   -0.003027
       0.520700,   -0.002749
       0.521700,   -0.002485
       0.522700,   -0.002235
       0.523700,   -0.001996
       0.524700,   -0.001769
       0.525700,   -0.001551
       0.526700,   -0.001341
       0.527700,   -0.001139
       0.528700,   -0.000943
       0.529700,   -0.000751
       0.530700,   -0.000563
       0.531700,   -0.000376
       0.532700,   -0.000191
       0.533700,   -0.000006
       0.534700,    0.000181
       0.535700,    0.000371
       0.536700,    0.000565
       0.537700,    0.000764
       0.538700,    0.000969
       0.539700,    0.001180
       0.540700,    0.001395
       0.541700,    0.001613
       0.542700,    0.001832
       0.543700,    0.002050
       0.544700,    0.002267
       0.545700,    0.002481
       0.546700,    0.002690
       0.547700,    0.002892
       0.548700,    0.003087
       0.549700,    0.003272
       0.550700,    0.003447
       0.551700,    0.003609
       0.552700,    0.003757
       0.553700,    0.003891
       0.554700,    0.004007
       0.555700,    0.004105
       0.556700,    0.004184
       0.557700,    0.004243
       0.558700,    0.004285
       0.559700,    0.004312
       0.560700,    0.004327
       0.561700,    0.004331
       0.562700,    0.004326
       0.563700,    0.004316
       0.564700,    0.004301
       0.565700,    0.004285
       0.566700,    0.004269
       0.567700,    0.004256
       0.568700,    0.004247
       0.569700,    0.004245
       0.570700,    0.004252
       0.571700,    0.004270
       0.572700,    0.004302
       0.573700,    0.004350
       0.574700,    0.004415
       0.575700,    0.004498
       0.576700,    0.004597
       0.577700,    0.004708
       0.578700,    0.004830
       0.579700,    0.004960
       0.580700,    0.005095
       0.581700,    0.005232
       0.582700,    0.005370
       0.583700,    0.005504
       0.584700,    0.005634
       0.585700,    0.005755
       0.586700,    0.005866
       0.587700,    0.005964
       0.588700,    0.006046
       0.589700,    0.006110
       0.590700,    0.006153
       0.591700,    0.006172
       0.592700,    0.006166
       0.593700,    0.006131
       0.594700,    0.006068
       0.595700,    0.005978
       0.596700,    0.005860
       0.597700,    0.005715
       0.598700,    0.005543
       0.599700,    0.005345
       0.600700,    0.005120
       0.601700,    0.004869
       0.602700,    0.004592
       0.603700,    0.004290
       0.604700,    0.003962
       0.605700,    0.003609
       0.606700,    0.003232
       0.607700,    0.002830
       0.608700,    0.002403
       0.609700,    0.001953
       0.610700,    0.001479
       0.611700,    0.000981
       0.612700,    0.000462
       0.613700,   -0.000078
       0.614700,   -0.000636
       0.615700,   -0.001212
       0.616700,   -0.001804
       0.617700,   -0.002409
       0.618700,   -0.003028
       0.619700,   -0.003657
       0.620700,   -0.004296
       0.621700,   -0.004943
       0.622700,   -0.005596
       0.623700,   -0.006255
       0.624700,   -0.006916
       0.625700,   -0.007580
       0.626700,   -0.008244
       0.627700,   -0.008906
       0.628700,   -0.009566
       0.629700,   -0.010221
       0.630700,   -0.010871
       0.631700,   -0.011517
       0.632700,   -0.012156
       0.633700,   -0.012790
       0.634700,   -0.013417
       0.635700,   -0.014038
       0.636700,   -0.014652
       0.637700,   -0.015259
       0.638700,   -0.015858
       0.639700,   -0.016450
       0.640700,   -0.017033
       0.641700,   -0.017608
       0.642700,   -0.018174
       0.643700,   -0.018731
       0.644700,   -0.019278
       0.645700,   -0.019816
       0.646700,   -0.020343
       0.647700,   -0.020861
       0.648700,   -0.021367
       0.649700,   -0.021861
       0.650700,   -0.022343
       0.651700,   -0.022812
       0.652700,   -0.023268
       0.653700,   -0.023709
       0.654700,   -0.024135
       0.655700,   -0.024545
       0.656700,   -0.024938
       0.657700,   -0.025315
       0.658700,   -0.025674
       0.659700,   -0.026014
       0.660700,   -0.026335
       0.661700,   -0.026636
       0.662700,   -0.026916
       0.663700,   -0.027175
       0.664700,   -0.027412
