# d OCP / d Temp data for LG INR18650-MJ1 SiC anode
# sto, dU/dT
       0.000000,    0.014408
       0.010000,    0.014408
       0.020000,    0.014408
       0.030000,    0.014408
       0.040000,    0.014408
       0.050000,    0.014408
       0.060000,    0.014408
#
       0.069892,    0.014408
       0.071178,    0.014373
       0.072463,    0.014339
       0.073748,    0.014304
       0.075033,    0.014270
       0.076318,    0.014235
       0.077604,    0.014201
       0.078889,    0.014166
       0.080174,    0.014132
       0.081459,    0.014097
       0.082744,    0.014062
       0.084029,    0.014028
       0.085315,    0.013993
       0.086600,    0.013959
       0.087885,    0.013924
       0.089170,    0.013890
       0.090455,    0.013855
       0.091740,    0.013821
       0.093026,    0.013786
       0.094311,    0.013752
       0.095596,    0.013717
       0.096881,    0.013683
       0.098166,    0.013648
       0.099452,    0.013613
       0.100737,    0.013560
       0.102022,    0.013507
       0.103307,    0.013454
       0.104592,    0.013401
       0.105877,    0.013348
       0.107163,    0.013295
       0.108448,    0.013242
       0.109733,    0.013189
       0.111018,    0.013136
       0.112303,    0.013083
       0.113589,    0.013030
       0.114874,    0.012977
       0.116159,    0.012924
       0.117444,    0.012871
       0.118729,    0.012818
       0.120014,    0.012766
       0.121300,    0.012713
       0.122585,    0.012660
       0.123870,    0.012607
       0.125155,    0.012554
       0.126440,    0.012501
       0.127725,    0.012448
       0.129011,    0.012395
       0.130296,    0.012342
       0.131581,    0.012289
       0.132866,    0.012236
       0.134151,    0.012183
       0.135437,    0.012130
       0.136722,    0.012077
       0.138007,    0.012024
       0.139292,    0.011971
       0.140577,    0.011918
       0.141862,    0.011866
       0.143148,    0.011813
       0.144433,    0.011760
       0.145718,    0.011707
       0.147003,    0.011654
       0.148288,    0.011601
       0.149573,    0.011498
       0.150859,    0.011208
       0.152144,    0.010918
       0.153429,    0.010628
       0.154714,    0.010338
       0.155999,    0.010049
       0.157285,    0.009759
       0.158570,    0.009469
       0.159855,    0.009179
       0.161140,    0.008889
       0.162425,    0.008599
       0.163710,    0.008309
       0.164996,    0.008019
       0.166281,    0.007729
       0.167566,    0.007439
       0.168851,    0.007149
       0.170136,    0.006859
       0.171421,    0.006569
       0.172707,    0.006280
       0.173992,    0.005990
       0.175277,    0.005700
       0.176562,    0.005410
       0.177847,    0.005120
       0.179133,    0.004830
       0.180418,    0.004540
       0.181703,    0.004250
       0.182988,    0.003960
       0.184273,    0.003670
       0.185558,    0.003380
       0.186844,    0.003090
       0.188129,    0.002801
       0.189414,    0.002511
       0.190699,    0.002221
       0.191984,    0.001931
       0.193269,    0.001641
       0.194555,    0.001351
       0.195840,    0.001061
       0.197125,    0.000771
       0.198410,    0.000481
       0.199695,    0.005745
       0.200981,    0.005224
       0.202266,    0.004703
       0.203551,    0.004182
       0.204836,    0.003660
       0.206121,    0.003139
       0.207406,    0.002618
       0.208692,    0.002097
       0.209977,    0.001576
       0.211262,    0.001055
       0.212547,    0.000534
       0.213832,    0.000012
       0.215118,   -0.000509
       0.216403,   -0.001030
       0.217688,   -0.001551
       0.218973,   -0.002072
       0.220258,   -0.002593
       0.221543,   -0.003115
       0.222829,   -0.003636
       0.224114,   -0.004157
       0.225399,   -0.004678
       0.226684,   -0.005199
       0.227969,   -0.005720
       0.229254,   -0.006242
       0.230540,   -0.006763
       0.231825,   -0.007284
       0.233110,   -0.007805
       0.234395,   -0.008326
       0.235680,   -0.008847
       0.236966,   -0.009369
       0.238251,   -0.009890
       0.239536,   -0.010411
       0.240821,   -0.010932
       0.242106,   -0.011453
       0.243391,   -0.011974
       0.244677,   -0.012496
       0.245962,   -0.013017
       0.247247,   -0.013538
       0.248532,   -0.014059
       0.249817,   -0.014473
       0.251102,   -0.014788
       0.252388,   -0.015103
       0.253673,   -0.015418
       0.254958,   -0.015733
       0.256243,   -0.016048
       0.257528,   -0.016363
       0.258814,   -0.016678
       0.260099,   -0.016993
       0.261384,   -0.017308
       0.262669,   -0.017623
       0.263954,   -0.017938
       0.265239,   -0.018253
       0.266525,   -0.018568
       0.267810,   -0.018883
       0.269095,   -0.019197
       0.270380,   -0.019512
       0.271665,   -0.019827
       0.272950,   -0.020142
       0.274236,   -0.020457
       0.275521,   -0.020772
       0.276806,   -0.021087
       0.278091,   -0.021402
       0.279376,   -0.021717
       0.280662,   -0.022032
       0.281947,   -0.022347
       0.283232,   -0.022662
       0.284517,   -0.022977
       0.285802,   -0.023292
       0.287087,   -0.023607
       0.288373,   -0.023922
       0.289658,   -0.024236
       0.290943,   -0.024551
       0.292228,   -0.024866
       0.293513,   -0.025181
       0.294798,   -0.025496
       0.296084,   -0.025811
       0.297369,   -0.026126
       0.298654,   -0.026441
       0.299939,   -0.029500
       0.301224,   -0.033901
       0.302510,   -0.038303
       0.303795,   -0.042705
       0.305080,   -0.047106
       0.306365,   -0.051508
       0.307650,   -0.055910
       0.308935,   -0.060311
       0.310221,   -0.064713
       0.311506,   -0.069115
       0.312791,   -0.073516
       0.314076,   -0.077918
       0.315361,   -0.082320
       0.316647,   -0.086722
