# OCP data for LG INR18650-MJ1 SiC anode
# sto,ocp
    0.000000,     1.694114
    0.000050,     1.509714
    0.000100,     1.417418
    0.000150,     1.354109
    0.000200,     1.310249
    0.000250,     1.278213
    0.000300,     1.252279
    0.000350,     1.230158
    0.000400,     1.210708
    0.000450,     1.193545
    0.000500,     1.177146
    0.000550,     1.162463
    0.000600,     1.148542
    0.000650,     1.135575
    0.000700,     1.123179
    0.000750,     1.111547
    0.000800,     1.100487
    0.000850,     1.090018
    0.000900,     1.079893
    0.000950,     1.070167
    0.001000,     1.061023
    0.001050,     1.052051
    0.001100,     1.043471
    0.001150,     1.035070
    0.001200,     1.027070
    0.001250,     1.019415
    0.001300,     1.011485
    0.001350,     1.004130
    0.001400,     0.996611
    0.001450,     0.989504
    0.001500,     0.982397
    0.001550,     0.975393
    0.001600,     0.968528
    0.001650,     0.961790
    0.001700,     0.955180
    0.001750,     0.948696
    0.001800,     0.942321
    0.001850,     0.935983
    0.001900,     0.929818
    0.001950,     0.923779
    0.002000,     0.917804
    0.002050,     0.911952
    0.002100,     0.906231
    0.002150,     0.900641
    0.002200,     0.895183
    0.002250,     0.889674
    0.002300,     0.884432
    0.002350,     0.879284
    0.002400,     0.874135
    0.002450,     0.869184
    0.002500,     0.864315
    0.002550,     0.859452
    0.002600,     0.854875
    0.002650,     0.850202
    0.002700,     0.845722
    0.002750,     0.841300
    0.002800,     0.836950
    0.002850,     0.832755
    0.002900,     0.828636
    0.002950,     0.824593
    0.003000,     0.820550
    0.004000,     0.754131
    0.005000,     0.709357
    0.006000,     0.676644
    0.007000,     0.649403
    0.008000,     0.625281
    0.009000,     0.603501
    0.010000,     0.583619
    0.011000,     0.565233
    0.012000,     0.548130
    0.013000,     0.532294
    0.014000,     0.517322
    0.015000,     0.503209
    0.016000,     0.489877
    0.017000,     0.477293
    0.018000,     0.465231
    0.019000,     0.453658
    0.020000,     0.442765
    0.021000,     0.432228
    0.022000,     0.422265
    0.023000,     0.412615
    0.024000,     0.403415
    0.025000,     0.394578
    0.026000,     0.386034
    0.027000,     0.377882
    0.028000,     0.370104
    0.029000,     0.362599
    0.030000,     0.355439
    0.031000,     0.348551
    0.032000,     0.341951
    0.033000,     0.335645
    0.034000,     0.329581
    0.035000,     0.323871
    0.036000,     0.318388
    0.037000,     0.313098
    0.038000,     0.308191
    0.039000,     0.303443
    0.040000,     0.299022
    0.041000,     0.294806
    0.042000,     0.290948
    0.043000,     0.287243
    0.044000,     0.283801
    0.045000,     0.280545
